state,university/college,campus,student_enrollment,violent_crime,murder_and_nonnegligent_manslaughter,rape_revised_definition,rape_legacy_definition,robbery,aggravated_assault,property_crime,burglary,larceny-_theft,motor_vehicle_theft,arson
INDIANA,Purdue University,Purdue University main,40472,8,0,3,0,2,3,256,15,238,3,0
IOWA,Iowa State University,Iowa State University main,35714,14,0,7,0,1,6,255,12,238,5,0
IOWA,University of Iowa,University of Iowa main,30844,18,0,11,0,0,7,256,32,215,9,2
IOWA,University of Northern Iowa,University of Northern Iowa main,11981,7,0,3,0,0,4,81,4,72,5,0
KANSAS,Emporia State University,Emporia State University main,6094,0,0,0,0,0,0,45,16,29,0,1
KANSAS,Fort Hays State University,Fort Hays State University main,14210,4,0,2,0,0,2,44,9,35,0,0
KANSAS,Kansas City Kansas Community College,Kansas City Kansas Community College main,5625,1,0,1,0,0,0,17,1,16,0,0
KANSAS,Kansas State University,Kansas State University main,24146,7,0,2,0,0,5,77,4,72,1,0
KANSAS,Pittsburg State University,Pittsburg State University main,7244,2,0,1,0,1,0,60,6,50,4,0
KANSAS,University of Kansas: ,University of Kansas:  Main Campus,27259,5,0,3,0,1,1,205,27,173,5,0
KANSAS,University of Kansas: ,University of Kansas:  Medical Center,0,17,0,0,0,2,15,133,3,126,4,0
KANSAS,Washburn University,Washburn University main,6615,2,0,0,0,1,1,73,6,64,3,0
KANSAS,Wichita State University,Wichita State University main,14240,1,0,0,0,0,1,93,8,80,5,1
KENTUCKY,Eastern Kentucky University,Eastern Kentucky University main,16844,7,0,6,0,1,0,193,41,147,5,0
KENTUCKY,Kentucky State University,Kentucky State University main,1586,0,0,0,0,0,0,8,2,6,0,0
KENTUCKY,Morehead State University,Morehead State University main,10872,0,0,0,0,0,0,50,14,36,0,0
KENTUCKY,Murray State University,Murray State University main,10998,4,0,4,0,0,0,79,7,66,6,0
KENTUCKY,Northern Kentucky University,Northern Kentucky University main,14699,0,0,0,0,0,0,50,4,46,0,0
KENTUCKY,Transylvania University,Transylvania University main,1053,0,0,0,0,0,0,3,0,3,0,0
KENTUCKY,University of Kentucky,University of Kentucky main,29727,17,0,3,0,6,8,499,20,452,27,1
KENTUCKY,University of Louisville,University of Louisville main,21294,10,0,1,0,6,3,321,25,282,14,1
KENTUCKY,Western Kentucky University,Western Kentucky University main,20063,3,0,2,0,1,0,95,19,74,2,1
LOUISIANA,Delgado Community College,Delgado Community College main,16131,1,0,0,0,0,1,14,1,12,1,0
LOUISIANA,Dillard University,Dillard University main,1185,1,0,1,0,0,0,39,12,26,1,0
LOUISIANA,Grambling State University,Grambling State University main,4541,20,0,3,0,5,12,113,34,77,2,0
LOUISIANA,Louisiana State University: ,Louisiana State University:  Baton Rouge,31524,11,0,3,0,3,5,366,46,297,23,0
LOUISIANA,Louisiana State University: ,"Louisiana State University:  Health Sciences Center, New Orleans",2791,0,0,0,0,0,0,0,0,0,0,0
LOUISIANA,Louisiana State University: ,"Louisiana State University:  Health Sciences Center, Shreveport",891,0,0,0,0,0,0,52,1,49,2,0
LOUISIANA,Louisiana State University: ,Louisiana State University:  Shreveport,4428,0,0,0,0,0,0,25,10,15,0,0
LOUISIANA,Louisiana Tech University,Louisiana Tech University main,12371,2,0,0,0,2,0,56,3,52,1,0
LOUISIANA,Nicholls State University,Nicholls State University main,6158,1,0,0,0,0,1,7,1,6,0,0
LOUISIANA,Northwestern State University,Northwestern State University main,9179,8,0,3,0,3,2,68,14,54,0,0
LOUISIANA,Southern University and A&M College: ,Southern University and A&M College:  Baton Rouge,6401,14,0,0,0,9,5,98,14,84,0,1
LOUISIANA,Southern University and A&M College: ,Southern University and A&M College:  New Orleans,2792,0,0,0,0,0,0,0,0,0,0,0
LOUISIANA,Southern University and A&M College: ,Southern University and A&M College:  Shreveport,3174,0,0,0,0,0,0,0,0,0,0,0
LOUISIANA,Tulane University,Tulane University main,12485,7,0,2,0,4,1,243,20,221,2,3
LOUISIANA,University of Louisiana: ,University of Louisiana:  Lafayette,17508,20,0,3,0,3,14,221,34,183,4,0
LOUISIANA,University of Louisiana: ,University of Louisiana:  Monroe,8804,7,0,0,0,2,5,58,7,50,1,0
LOUISIANA,University of New Orleans,University of New Orleans main,8423,6,0,4,0,0,2,69,11,58,0,0
MAINE,University of Maine: ,University of Maine:  Farmington6,2016,1,0,1,0,0,0,18,2,16,0,0
MAINE,University of Maine: ,University of Maine:  Orono6,10922,20,0,19,0,1,0,138,2,136,0,4
MAINE,University of Southern Maine6,University of Southern Maine6 main,7739,1,0,1,0,0,0,29,3,25,1,0
MARYLAND,Bowie State University,Bowie State University main,5430,3,0,0,0,2,1,46,23,22,1,0
MARYLAND,Coppin State University,Coppin State University main,3108,6,0,0,0,3,3,77,16,55,6,0
MARYLAND,Frostburg State University,Frostburg State University main,5756,10,0,0,0,3,7,44,4,39,1,0
MARYLAND,Hagerstown Community College,Hagerstown Community College main,4276,0,0,0,0,0,0,0,0,0,0,0
MARYLAND,Morgan State University,Morgan State University main,7725,6,0,0,0,3,3,105,3,102,0,0
MARYLAND,Salisbury University,Salisbury University main,8671,2,0,2,0,0,0,70,3,67,0,0
MARYLAND,St. Mary's College,St. Mary's College main,1735,3,0,2,0,0,1,69,8,59,2,7
MARYLAND,Towson University,Towson University main,22284,2,0,1,0,1,0,76,8,68,0,0
MARYLAND,University of Baltimore,University of Baltimore main,6229,0,0,0,0,0,0,36,1,35,0,0
MARYLAND,University of Maryland: ,University of Maryland:  Baltimore City,6329,6,0,0,0,2,4,77,1,74,2,0
MARYLAND,University of Maryland: ,University of Maryland:  Baltimore County,13839,0,0,0,0,0,0,79,5,73,1,0
MARYLAND,University of Maryland: ,University of Maryland:  College Park,38140,18,0,4,0,4,10,341,26,297,18,0
MARYLAND,University of Maryland: ,University of Maryland:  Eastern Shore,4465,9,0,6,0,1,2,62,29,33,0,0
MASSACHUSETTS,Amherst College,Amherst College main,1795,9,0,8,0,0,1,59,10,46,3,0
MASSACHUSETTS,Assumption College,Assumption College main,2675,10,0,4,0,0,6,27,1,26,0,0
MASSACHUSETTS,Babson College,Babson College main,3057,9,0,6,0,0,3,33,0,33,0,0
MASSACHUSETTS,Becker College,Becker College main,2153,3,0,2,0,0,1,14,0,14,0,0
MASSACHUSETTS,Bentley University,Bentley University main,5552,3,0,2,0,0,1,42,8,34,0,0
MASSACHUSETTS,Boston College,Boston College main,14354,10,0,7,0,0,3,122,15,106,1,0
MASSACHUSETTS,Boston University,Boston University main,32158,19,0,7,0,5,7,364,23,338,3,1
MASSACHUSETTS,Brandeis University,Brandeis University main,5752,0,0,0,0,0,0,39,3,35,1,0
MASSACHUSETTS,Bridgewater State University,Bridgewater State University main,11089,12,0,3,0,1,8,31,6,25,0,0
MASSACHUSETTS,Bristol Community College,Bristol Community College main,8761,1,0,0,0,0,1,4,0,4,0,0
