state,university/college,campus,student_enrollment,violent_crime,murder_and_nonnegligent_manslaughter,robbery,aggravated_assault,property_crime,burglary,larceny-_theft,motor_vehicle_theft,arson
MASSACHUSETTS,University of Massachusetts:,"University of Massachusetts: Harbor Campus, Boston",20882,0,0,0,0,36,0,36,0,0
MASSACHUSETTS,University of Massachusetts:,"University of Massachusetts: Medical Center, Worcester",1171,18,0,0,18,46,0,45,1,0
MASSACHUSETTS,Wellesley College,Wellesley College main,2688,1,0,0,0,32,2,30,0,0
MASSACHUSETTS,Wentworth Institute of Technology,Wentworth Institute of Technology main,4778,0,0,0,0,44,1,43,0,0
MASSACHUSETTS,Western New England University,Western New England University main,4201,3,0,1,1,25,0,25,0,0
MASSACHUSETTS,Westfield State University,Westfield State University main,8017,0,0,0,0,15,4,11,0,2
MASSACHUSETTS,Worcester Polytechnic Institute,Worcester Polytechnic Institute main,7288,3,0,1,1,41,6,35,0,0
MICHIGAN,Central Michigan University,Central Michigan University main,28486,5,2,0,2,48,1,47,0,0
MICHIGAN,Delta College,Delta College main,12428,0,0,0,0,16,3,13,0,0
MICHIGAN,Eastern Michigan University,Eastern Michigan University main,24545,10,0,1,3,94,6,85,3,4
MICHIGAN,Ferris State University,Ferris State University main,16828,12,0,1,3,28,2,25,1,0
